"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","O-H32_Brunei","O-H5_Pakistan","O109H51_Pakistan","O16H48_Indonesia","O1H7_Pakistan","O1K1H7_Korea","O25H4_Denmark","O2K1H5_IMT5155_China","O2K1H5_Korea","O36H5_Pakistan","O76_O8H9_China","O78H4_Australia","O78H4_Korea","O78H51_Korea","O78H9_China","O78H9_HPVN24_VN","O78H9_IMT2125_UK","O78_US","O82H8_Thailand","O8H25_Laos","O9H21_China"
"group_3959","","hypothetical protein","7","7","1","52","2263","1","6692","","404","536","517","","","","","O1H7Pakistan_01160","O1K1H7Korea_01122","O25H4Denmark_00620","O2K1H5China_01058","O2K1H5Korea_01118","","","O78H4Australia_01048","O78H4Korea_01074","","","","","","","",""
"group_3960","","hypothetical protein","7","7","1","52","2262","1","6691","","734","1079","1029","","","","","O1H7Pakistan_01161","O1K1H7Korea_01123","O25H4Denmark_00619","O2K1H5China_01057","O2K1H5Korea_01119","","","O78H4Australia_01047","O78H4Korea_01075","","","","","","","",""
"group_3961","","hypothetical protein","7","7","1","52","2261","1","6690","","1760","1760","1760","","","","","O1H7Pakistan_01162","O1K1H7Korea_01124","O25H4Denmark_00618","O2K1H5China_01056","O2K1H5Korea_01120","","","O78H4Australia_01046","O78H4Korea_01079","","","","","","","",""
"group_3962","","hypothetical protein","7","7","1","52","2257","1","6687","","1637","1637","1637","","","","","O1H7Pakistan_01166","O1K1H7Korea_01128","O25H4Denmark_00615","O2K1H5China_01052","O2K1H5Korea_01124","","","O78H4Australia_01043","O78H4Korea_01082","","","","","","","",""
"group_3966","","hypothetical protein","7","7","1","52","2283","1","6663","","665","665","665","","","","","O1H7Pakistan_01178","O1K1H7Korea_01140","O25H4Denmark_00606","O2K1H5China_01039","O2K1H5Korea_01136","","","O78H4Australia_01032","O78H4Korea_01092","","","","","","","",""
"group_3970","yfeD","putative DNA-binding transcriptional regulator","7","7","1","52","4634","390","1","","338","371","366","","","","","O1H7Pakistan_01562","O1K1H7Korea_01616","O25H4Denmark_00175","O2K1H5China_00586","O2K1H5Korea_01638","","","O78H4Australia_00637","O78H4Korea_01486","","","","","","","",""
"group_3975","","hypothetical protein","7","7","1","52","1393","1","6427","","1070","1070","1070","","","","","O1H7Pakistan_02019","O1K1H7Korea_02123","O25H4Denmark_04798","","O2K1H5Korea_02103","","","O78H4Australia_00228","","","","","","","","O8H25Laos_03001","O9H21China_01907"
"group_3978","","hypothetical protein","7","7","1","52","9703","1","6446","","200","200","200","","","","","O1H7Pakistan_02031","O1K1H7Korea_02132","O25H4Denmark_04630","","O2K1H5Korea_02122","","","O78H4Australia_00219","","","","","","","","O8H25Laos_02992","O9H21China_01916"
"emrB_2","","EmrAB-TolC multidrug efflux transport system - membrane subunit","7","7","1","52","9970","369","1","","1511","1511","1511","","","","","O1H7Pakistan_02637","O1K1H7Korea_02714","O25H4Denmark_04839","O2K1H5China_04788","O2K1H5Korea_02851","","","O78H4Australia_04704","O78H4Korea_02704","","","","","","","",""
"fecE_1","","ferric dicitrate ABC transporter - ATP binding subunit","7","7","1","52","10030","354","4","","647","758","742","","","","","O1H7Pakistan_02852","O1K1H7Korea_02928","O25H4Denmark_04450","O2K1H5China_04941","O2K1H5Korea_03069","","","O78H4Australia_04547","O78H4Korea_02928","","","","","","","",""
"nadC_1","","Nicotinate-nucleotide pyrophosphorylase [carboxylating]","7","7","1","52","10028","354","2","","692","854","830","","","","","O1H7Pakistan_02854","O1K1H7Korea_02930","O25H4Denmark_04452","O2K1H5China_04943","O2K1H5Korea_03071","","","O78H4Australia_04545","O78H4Korea_02930","","","","","","","",""
"group_40","rhsB_2","RhsB protein in rhs element","7","7","1","52","12516","53","2","","326","4184","2550","","","O109H51Pakistan_04964","","","","","","","","","","","O78H51Korea_04942","","O78H9HPVN24_04201","O78H9IMT2125UK_04292","O78US_00095","","O8H25Laos_00382","O9H21China_04709"
"group_4043","","hypothetical protein","7","7","1","52","5100","1","6646","","380","389","382","","","","","O1H7Pakistan_04317","O1K1H7Korea_04432","","","","","O76O8H9China_03345","","O78H4Korea_04511","","O78H9China_04255","O78H9HPVN24_04637","","O78US_00528","","",""
"rutB_2","","peroxyureidoacrylate / ureidoacrylate amido hydrolase","7","7","1","52","925","348","15","","668","668","668","","","","","O1H7Pakistan_04947","O1K1H7Korea_05058","O25H4Denmark_04682","O2K1H5China_02173","O2K1H5Korea_05235","","","O78H4Australia_02380","O78H4Korea_05050","","","","","","","",""
"yqeA_2","","putative amino acid kinase","7","7","1","52","921","348","11","","956","956","956","","","","","O1H7Pakistan_04951","O1K1H7Korea_05062","O25H4Denmark_03662","O2K1H5China_02169","O2K1H5Korea_05239","","","O78H4Australia_02376","O78H4Korea_05054","","","","","","","",""
"group_4068","yieH","6-phosphogluconate phosphatase","7","7","1","52","885","45","9","","665","665","665","","","","","O1H7Pakistan_05078","O1K1H7Korea_05216","O25H4Denmark_03172","O2K1H5China_02040","O2K1H5Korea_05365","","","O78H4Australia_02244","O78H4Korea_05182","","","","","","","",""
"group_4079","","hypothetical protein","7","7","1","52","7333","1","2503","","1454","2099","2006","","","","","","O1K1H7Korea_04289","","","","","O76O8H9China_00795","O78H4Australia_02714","O78H4Korea_02455","","","","","O78US_02417","","O8H25Laos_02512","O9H21China_02447"
"group_4086","","hypothetical protein","7","7","1","52","5096","1","6642","","257","257","257","","","","","","O1K1H7Korea_04436","","","","","O76O8H9China_03341","","O78H4Korea_04515","","O78H9China_05210","O78H9HPVN24_04634","","O78US_00524","","O8H25Laos_05013",""
"mdtH_2","","YceL MFS transporter","7","7","1","52","6517","1","4438","","614","1232","1143","","","","","","O1K1H7Korea_05415","O25H4Denmark_04729","O2K1H5China_05219","O2K1H5Korea_05473","","","O78H4Australia_05363","","","O78H9China_04882","O78H9HPVN24_04900","","","","",""
"hmuT_2","","Hemin-binding periplasmic protein HmuT","7","7","1","52","6514","1","4434","","302","998","898","","","","","","O1K1H7Korea_05418","O25H4Denmark_04726","O2K1H5China_05216","O2K1H5Korea_05470","","","O78H4Australia_05360","","","O78H9China_04885","O78H9HPVN24_04939","","","","",""
"group_4106","","hypothetical protein","7","7","1","52","2265","1","6701","","1376","1394","1378","","","","","O1H7Pakistan_01158","O1K1H7Korea_01120","O25H4Denmark_00622","O2K1H5China_01060","O2K1H5Korea_01116","","","O78H4Australia_01050","O78H4Korea_01072","","","","","","","",""
"ykgN","","putative IS protein","7","7","1","52","9325","1","221","","215","215","215","","","","","","","","","","","O76O8H9China_02531","O78H4Australia_04124","O78H4Korea_03345","","O78H9China_00413","O78H9HPVN24_00845","O78H9IMT2125UK_00815","O78US_01583","","",""
"group_4232","","hypothetical protein","7","7","1","52","12175","1","834","","257","734","665","","","","","","","","","","","","O78H4Australia_00266","O78H4Korea_01846","O78H51Korea_02763","O78H9China_00252","O78H9HPVN24_02135","O78H9IMT2125UK_02145","O78US_02909","","",""
"group_4233","","hypothetical protein","7","7","1","52","12180","1","838","","491","1121","1031","","","","","","","","","","","","O78H4Australia_00271","O78H4Korea_01842","O78H51Korea_02767","O78H9China_00256","O78H9HPVN24_02139","O78H9IMT2125UK_02150","O78US_02913","","",""
"group_4234","","hypothetical protein","7","7","1","52","12181","1","839","","563","956","899","","","","","","","","","","","","O78H4Australia_00272","O78H4Korea_01841","O78H51Korea_02768","O78H9China_00257","O78H9HPVN24_02140","O78H9IMT2125UK_02151","O78US_02914","","",""
"mshA","","D-inositol-3-phosphate glycosyltransferase","7","7","1","52","12185","1","843","","791","1109","1063","","","","","","","","","","","","O78H4Australia_00275","O78H4Korea_01838","O78H51Korea_02771","O78H9China_00260","O78H9HPVN24_02144","O78H9IMT2125UK_02154","O78US_02917","","",""
"torI","","prophage excisionase and response regulator inhibitor","7","7","1","52","3979","1","2020","","200","200","200","OH32Brunei_00363","","","O16H48Indonesia_02419","O1H7Pakistan_01596","O1K1H7Korea_01652","","O2K1H5China_00548","O2K1H5Korea_01671","","","","","","","O78H9HPVN24_02552","","","","",""
"ybfB","","putative inner membrane protein","7","7","1","52","9098","1","5613","","326","326","326","OH32Brunei_00544","OH5Pakistan_03421","O109H51Pakistan_03601","O16H48Indonesia_00716","","","","","","","O76O8H9China_04081","","","","O78H9China_05244","O78H9HPVN24_04868","","","","",""
"mqsR","","mRNA interferase, toxin of the MqsR-YgiT toxin-antitoxin system","7","7","1","52","180","108","3","","296","296","296","OH32Brunei_00772","OH5Pakistan_00795","","","","","","","","O36H5Pakistan_00797","","","","","O78H9China_03181","O78H9HPVN24_03244","O78H9IMT2125UK_03309","O78US_03971","","",""
"mqsA","","MqsA antitoxin of the MqsRA toxin-antitoxin system and DNA-binding transcriptional repressor","7","7","1","52","179","108","2","","395","395","395","OH32Brunei_00773","OH5Pakistan_00796","","","","","","","","O36H5Pakistan_00796","","","","","O78H9China_03180","O78H9HPVN24_03243","O78H9IMT2125UK_03308","O78US_03970","","",""
"aglB","","6-phospho-alpha-glucosidase","7","7","1","52","1168","56","4","","176","176","176","OH32Brunei_01580","OH5Pakistan_00065","O109H51Pakistan_00214","O16H48Indonesia_03748","","","","","","O36H5Pakistan_00170","","","","","","","","","O82H8Thailand_04541","","O9H21China_00026"
"group_4598","","hypothetical protein","7","7","1","52","8223","1","6073","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","158","158","158","OH32Brunei_01677","","","","","","","","","O36H5Pakistan_03799","O76O8H9China_01322","","","","O78H9China_03626","O78H9HPVN24_00356","O78H9IMT2125UK_00325","O78US_01064","","",""
"hicA","","toxin of the HicA-HicB toxin-antitoxin system","7","7","1","52","11142","115","4","","176","176","176","OH32Brunei_02146","OH5Pakistan_02438","O109H51Pakistan_02770","","","","","","","O36H5Pakistan_02553","","","","O78H51Korea_02032","","","","","O82H8Thailand_03395","O8H25Laos_02392",""
"yliE_1","","putative c-di-GMP-specific phosphodiesterase","7","7","1","52","8987","512","2","","566","2348","979","OH32Brunei_00687","","","","","","O25H4Denmark_03129","O2K1H5China_03767","O2K1H5Korea_03493","","","O78H4Australia_04189","O78H4Korea_03281","","","","","","","","O9H21China_03214"
"rhsD_1","","RhsD protein in rhs element","7","7","1","52","8174","1","3937","","773","4289","3337","OH32Brunei_03527","OH5Pakistan_03607","O109H51Pakistan_03845","O16H48Indonesia_00510","","","","","","O36H5Pakistan_03586","","","","","","","","","O82H8Thailand_02659","","O9H21China_03602"
"group_487","rzpD_2","DLP12 prophage; predicted murein endopeptidase","7","7","1","52","4969","1","3256","","437","467","452","OH32Brunei_01768","","O109H51Pakistan_03485","","","O1K1H7Korea_01686","","O2K1H5China_00509","O2K1H5Korea_01710","","","","","","","O78H9HPVN24_02519","","","O82H8Thailand_01121","",""
"group_490","","hypothetical protein","7","7","1","52","3638","1","2344","","425","425","425","OH32Brunei_04662","OH5Pakistan_04726","","","O1H7Pakistan_01903","O1K1H7Korea_02008","O25H4Denmark_04871","","O2K1H5Korea_05113","","","","","","","","O78H9IMT2125UK_00993","","","",""
"group_494","","hypothetical protein","7","7","1","52","3634","1","2340","","635","980","684","OH32Brunei_04666","OH5Pakistan_04722","","","O1H7Pakistan_01907","O1K1H7Korea_02012","O25H4Denmark_04875","","","","","O78H4Australia_02506","","","","","O78H9IMT2125UK_00997","","","",""
"racC","","Rac prophage; predicted protein","7","7","1","52","10589","1","2703","","275","275","275","OH32Brunei_03583","OH5Pakistan_02550","","O16H48Indonesia_01398","","","","","","O36H5Pakistan_02647","","","O78H4Korea_02690","","","","","","O82H8Thailand_00409","O8H25Laos_02296",""
"group_5092","","hypothetical protein","7","7","1","52","8042","1","2526","","329","329","329","OH32Brunei_04320","","","","","","","","O2K1H5Korea_04341","","","O78H4Australia_02726","O78H4Korea_02470","O78H51Korea_00457","","","O78H9IMT2125UK_02840","","","","O9H21China_02459"
"ybfQ","","putative transposase","7","7","1","52","9101","1","5611","","188","608","285","","","","","","","","","","O36H5Pakistan_03385","","","O78H4Korea_03509","O78H51Korea_01281","","O78H9HPVN24_00738","O78H9IMT2125UK_00712","","","O8H25Laos_01604","O9H21China_03355"
"group_5105","","hypothetical protein","7","7","1","52","8072","1","2514","","2102","2102","2102","OH32Brunei_04332","","","","","","","","O2K1H5Korea_04353","","","O78H4Australia_05281","O78H4Korea_04360","O78H51Korea_00445","","","O78H9IMT2125UK_02849","","O82H8Thailand_03737","",""
"group_5178","","hypothetical protein","7","7","1","52","6127","1","5260","","350","350","350","OH32Brunei_04497","","O109H51Pakistan_00184","","","","","","","","O76O8H9China_03323","O78H4Australia_05350","O78H4Korea_05295","O78H51Korea_05219","","","","","","","O9H21China_05007"
"era_1","","GTPase Era","7","7","1","52","1401","1","6430","","434","872","773","OH32Brunei_00707","","","","O1H7Pakistan_02022","O1K1H7Korea_02126","","","","","","O78H4Australia_00225","O78H4Korea_04051","","","","","","","O8H25Laos_02998","O9H21China_01910"
"group_5244","","hypothetical protein","7","7","1","52","3648","1","2429","","497","497","497","OH32Brunei_04660","OH5Pakistan_04728","","","O1H7Pakistan_01901","O1K1H7Korea_02006","","","O2K1H5Korea_05115","","","O78H4Australia_02499","","","","","O78H9IMT2125UK_00991","","","",""
"group_5246","","hypothetical protein","7","7","1","52","3637","1","2343","","158","158","158","OH32Brunei_04663","OH5Pakistan_04725","","","O1H7Pakistan_01904","O1K1H7Korea_02009","O25H4Denmark_04872","","O2K1H5Korea_05112","","","","","","","","O78H9IMT2125UK_00994","","","",""
"insJ","","IS150 protein InsA","7","7","1","52","1403","1","6439","","521","521","521","OH32Brunei_05359","OH5Pakistan_00203","O109H51Pakistan_05457","","O1H7Pakistan_02024","O1K1H7Korea_02128","","","","O36H5Pakistan_00297","","","","","O78H9China_04462","","","","","",""
"ydjO_2","","putative protein","7","7","1","52","11453","120","2","","266","782","389","","OH5Pakistan_02155","O109H51Pakistan_02420","O16H48Indonesia_01788","","","","","","O36H5Pakistan_02255","","","","O78H51Korea_02369","","","","","","O8H25Laos_02707","O9H21China_02243"
"betT_2","","choline:H+ symporter","7","7","1","52","10575","1","2761","","1997","1997","1997","","OH5Pakistan_02536","O109H51Pakistan_02596","","O1H7Pakistan_04334","O1K1H7Korea_04450","","","","O36H5Pakistan_02636","","","O78H4Korea_04529","","","","","","","O8H25Laos_02307",""
"ldrB_1","","small toxic polypeptide LdrB","7","7","1","52","10272","625","2","","107","107","107","","OH5Pakistan_02722","O109H51Pakistan_02971","O16H48Indonesia_01249","","","","","","O36H5Pakistan_02804","","","","O78H51Korea_01831","","","","","O82H8Thailand_01566","O8H25Laos_02145",""
"group_5602","","hypothetical protein","7","7","1","52","9108","634","1","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","122","122","122","","OH5Pakistan_03443","O109H51Pakistan_03621","O16H48Indonesia_00696","","","","","","","","","","O78H51Korea_01260","","","","","O82H8Thailand_02009","O8H25Laos_01583","O9H21China_03376"
"group_5760","","hypothetical protein","7","7","1","52","5642","1","4907","","941","941","941","","","O109H51Pakistan_00157","","O1H7Pakistan_00105","","O25H4Denmark_04701","O2K1H5China_05074","O2K1H5Korea_05428","","","O78H4Australia_05316","","O78H51Korea_05183","","","","","","",""
"group_5806","bfd","bacterioferritin-associated ferredoxin","7","7","1","52","1836","1","965","","194","194","194","","","O109H51Pakistan_00615","O16H48Indonesia_03384","","","","","","","O76O8H9China_02897","","","O78H51Korea_04216","","","","","O82H8Thailand_03463","O8H25Laos_04397","O9H21China_00410"
"group_5807","bfr","bacterioferritin monomer","7","7","1","52","1837","1","963","","476","476","476","","","O109H51Pakistan_00616","O16H48Indonesia_03383","","","","","","","O76O8H9China_02898","","","O78H51Korea_04215","","","","","O82H8Thailand_03462","O8H25Laos_04396","O9H21China_00411"
"fecI","","RNA polymerase, sigma 19 factor","7","7","1","52","7532","1","6639","","521","521","521","","","","","O1H7Pakistan_04322","O1K1H7Korea_04438","","","","","O76O8H9China_03339","","O78H4Korea_04517","","","O78H9HPVN24_04632","O78H9IMT2125UK_04696","O78US_00520","","",""
"fecR","","regulator for fec operon, periplasmic","7","7","1","52","7531","1","6637","","953","953","953","","","","","O1H7Pakistan_04323","O1K1H7Korea_04439","","","","","O76O8H9China_03338","","O78H4Korea_04518","","","O78H9HPVN24_04631","O78H9IMT2125UK_04695","O78US_00519","","",""
"xerC_5","","Tyrosine recombinase XerC","7","7","1","52","5345","1","681","","371","806","737","","","O109H51Pakistan_00110","","","O1K1H7Korea_05301","O25H4Denmark_04813","O2K1H5China_05130","O2K1H5Korea_05381","","","","","","O78H9China_04955","O78H9HPVN24_04795","","","","",""
"yneK_1","","putative protein","7","7","1","52","10734","126","1","","458","458","458","","","","O16H48Indonesia_01572","","","","","","","O76O8H9China_00829","","","","O78H9China_04587","O78H9HPVN24_01596","","O78US_02383","O82H8Thailand_02573","","O9H21China_02493"
"intS_1","","CPS-53 (KpLE1) prophage; prophage CPS-53 integrase","7","7","1","52","4679","1","1992","","1154","1157","1156","OH32Brunei_00341","","","O16H48Indonesia_02405","O1H7Pakistan_01610","O1K1H7Korea_01715","","O2K1H5China_00477","O2K1H5Korea_01736","","","","","","","O78H9HPVN24_02494","","","","",""
"group_6560","","hypothetical protein","7","7","1","52","5614","1","1209","","182","182","182","","","","","O1H7Pakistan_00123","O1K1H7Korea_05229","O25H4Denmark_04740","O2K1H5China_05192","O2K1H5Korea_05448","","","","","","O78H9China_04937","O78H9HPVN24_04822","","","","",""
"group_6563","","hypothetical protein","7","7","1","52","877","437","1","","260","260","260","","","","","O1H7Pakistan_00151","O1K1H7Korea_00017","O25H4Denmark_03199","O2K1H5China_02012","O2K1H5Korea_00017","","","O78H4Australia_02215","O78H4Korea_00017","","","","","","","",""
"manR","","Transcriptional regulator ManR","7","7","1","52","1208","350","1","","1553","1553","1553","","","","","O1H7Pakistan_00182","O1K1H7Korea_00061","O25H4Denmark_02115","O2K1H5China_01979","O2K1H5Korea_00095","","","O78H4Australia_02181","O78H4Korea_00140","","","","","","","",""
"group_6566","mngA","2-O-alpha-mannosyl-D-glycerate PTS permease","7","7","1","52","1207","350","8","","470","470","470","","","","","O1H7Pakistan_00183","O1K1H7Korea_00062","O25H4Denmark_02116","O2K1H5China_01978","O2K1H5Korea_00096","","","O78H4Australia_02180","O78H4Korea_00141","","","","","","","",""
"frwB_1","","PTS permease - unknown specificity","7","7","1","52","1206","350","7","","314","314","314","","","","","O1H7Pakistan_00184","O1K1H7Korea_00063","O25H4Denmark_02117","O2K1H5China_01977","O2K1H5Korea_00097","","","O78H4Australia_02179","O78H4Korea_00142","","","","","","","",""
"kbaY_1","","tagatose-1,6-bisphosphate aldolase 1","7","7","1","52","1204","350","5","","851","851","851","","","","","O1H7Pakistan_00186","O1K1H7Korea_00065","O25H4Denmark_02119","O2K1H5China_01975","O2K1H5Korea_00099","","","O78H4Australia_02177","O78H4Korea_00144","","","","","","","",""
"kbaY_2","","tagatose-1,6-bisphosphate aldolase 1","7","7","1","52","1203","350","4","","860","860","860","","","","","O1H7Pakistan_00187","O1K1H7Korea_00066","O25H4Denmark_02120","O2K1H5China_01974","O2K1H5Korea_00100","","","O78H4Australia_02176","O78H4Korea_00145","","","","","","","",""
"group_657","","hypothetical protein","7","7","1","52","4292","1","3073","","839","1058","1026","","","","","","O1K1H7Korea_01340","","O2K1H5China_00815","O2K1H5Korea_01355","","","","","","","","O78H9IMT2125UK_00300","O78US_01038","O82H8Thailand_03886","","O9H21China_03829"
"mak_1","","manno(fructo)kinase","7","7","1","52","1210","350","3","","932","932","932","","","","","O1H7Pakistan_00188","O1K1H7Korea_00067","O25H4Denmark_02121","O2K1H5China_01973","O2K1H5Korea_00101","","","O78H4Australia_02175","O78H4Korea_00146","","","","","","","",""
"group_6574","yibT","putative protein","7","7","1","52","773","414","1","","209","209","209","","","","","O1H7Pakistan_00245","O1K1H7Korea_00124","O25H4Denmark_02212","O2K1H5China_01915","O2K1H5Korea_00158","","","O78H4Australia_02117","O78H4Korea_00201","","","","","","","",""
"group_6582","gadX","GadX DNA-binding transcriptional dual regulator","7","7","1","52","1467","94","1","","824","824","824","","","","","O1H7Pakistan_00336","O1K1H7Korea_00215","O25H4Denmark_02293","O2K1H5China_01827","O2K1H5Korea_00247","","","O78H4Australia_02014","O78H4Korea_00391","","","","","","","",""
"fhuC_1","","iron (III) hydroxamate ABC transporter - ATP binding subunit","7","7","1","52","1480","349","1","","770","770","770","","","","","O1H7Pakistan_00349","O1K1H7Korea_00228","O25H4Denmark_02306","O2K1H5China_01814","O2K1H5Korea_00260","","","O78H4Australia_02001","O78H4Korea_00378","","","","","","","",""
"fecD_3","","ferric dicitrate ABC transporter - membrane subunit","7","7","1","52","1482","349","2","","956","956","956","","","","","O1H7Pakistan_00350","O1K1H7Korea_00229","O25H4Denmark_02307","O2K1H5China_01813","O2K1H5Korea_00261","","","O78H4Australia_02000","O78H4Korea_00377","","","","","","","",""
"group_6586","","hypothetical protein","7","7","1","52","1483","349","3","","623","623","623","","","","","O1H7Pakistan_00351","O1K1H7Korea_00230","O25H4Denmark_02308","O2K1H5China_01812","O2K1H5Korea_00262","","","O78H4Australia_01999","O78H4Korea_00376","","","","","","","",""
"hmuT_1","","Hemin-binding periplasmic protein HmuT","7","7","1","52","1486","349","6","","914","914","914","","","","","O1H7Pakistan_00354","O1K1H7Korea_00233","O25H4Denmark_02311","O2K1H5China_01809","O2K1H5Korea_00265","","","O78H4Australia_01996","O78H4Korea_00373","","","","","","","",""
"group_6588","cirA_1","outer membrane receptor involved in uptake of ferric dihyroxybenzoylserine","7","7","1","52","1487","349","7","","1982","1982","1982","","","","","O1H7Pakistan_00356","O1K1H7Korea_00235","O25H4Denmark_02313","O2K1H5China_01807","O2K1H5Korea_00267","","","O78H4Australia_01994","O78H4Korea_00371","","","","","","","",""
"group_6590","yhiM","inner membrane protein with a role in acid resistance","7","7","1","52","1666","403","1","","1064","1064","1064","","","","","O1H7Pakistan_00373","O1K1H7Korea_00252","O25H4Denmark_02330","O2K1H5China_01790","O2K1H5Korea_00284","","","O78H4Australia_01972","O78H4Korea_00349","","","","","","","",""
"dsbI","","Protein-disulfide oxidoreductase DsbI","7","7","1","52","216","368","1","","671","671","671","","","","","O1H7Pakistan_00836","O1K1H7Korea_00727","O25H4Denmark_01395","O2K1H5China_01324","O2K1H5Korea_00791","","","O78H4Australia_01528","O78H4Korea_00796","","","","","","","",""
"dsbL","","Thiol:disulfide interchange protein DsbL","7","7","1","52","217","368","2","","668","668","668","","","","","O1H7Pakistan_00837","O1K1H7Korea_00728","O25H4Denmark_01396","O2K1H5China_01323","O2K1H5Korea_00792","","","O78H4Australia_01527","O78H4Korea_00797","","","","","","","",""
"fhuA_1","","ferrichrome / phage / antibiotic outer membrane porin FhuA","7","7","1","52","208","15","19","","2141","2141","2141","","","","","O1H7Pakistan_00847","O1K1H7Korea_00738","O25H4Denmark_01407","O2K1H5China_01313","O2K1H5Korea_00802","","","O78H4Australia_01508","O78H4Korea_00815","","","","","","","",""
"fepC_1","","ferric enterobactin ABC transporter - ATP binding subunit","7","7","1","52","207","15","18","","809","809","809","","","","","O1H7Pakistan_00848","O1K1H7Korea_00739","O25H4Denmark_01408","O2K1H5China_01312","O2K1H5Korea_00803","","","O78H4Australia_01507","O78H4Korea_00816","","","","","","","",""
"fecD_2","","ferric dicitrate ABC transporter - membrane subunit","7","7","1","52","206","15","17","","983","983","983","","","","","O1H7Pakistan_00849","O1K1H7Korea_00740","O25H4Denmark_01409","O2K1H5China_01311","O2K1H5Korea_00804","","","O78H4Australia_01506","O78H4Korea_00817","","","","","","","",""
"group_6625","fecD_3","ferric dicitrate ABC transporter - membrane subunit","7","7","1","52","205","15","16","","1049","1049","1049","","","","","O1H7Pakistan_00850","O1K1H7Korea_00741","O25H4Denmark_01410","O2K1H5China_01310","O2K1H5Korea_00805","","","O78H4Australia_01505","O78H4Korea_00818","","","","","","","",""
"group_6626","","hypothetical protein","7","7","1","52","204","15","15","","947","947","947","","","","","O1H7Pakistan_00851","O1K1H7Korea_00742","O25H4Denmark_01411","O2K1H5China_01309","O2K1H5Korea_00806","","","O78H4Australia_01504","O78H4Korea_00819","","","","","","","",""
"group_6627","murR_1","HTH-type transcriptional regulator MurR","7","7","1","52","203","15","14","","887","887","887","","","","","O1H7Pakistan_00852","O1K1H7Korea_00743","O25H4Denmark_01412","O2K1H5China_01308","O2K1H5Korea_00807","","","O78H4Australia_01503","O78H4Korea_00820","","","","","","","",""
"bglG_1","","BglG transcriptional antiterminator (monomer)","7","7","1","52","2271","1","6696","","824","824","824","","","","","O1H7Pakistan_01153","O1K1H7Korea_01115","O25H4Denmark_00627","O2K1H5China_01066","O2K1H5Korea_01111","","","O78H4Australia_01057","O78H4Korea_01067","","","","","","","",""
"group_6670","","hypothetical protein","7","7","1","52","2264","1","6693","","428","428","428","","","","","O1H7Pakistan_01159","O1K1H7Korea_01121","O25H4Denmark_00621","O2K1H5China_01059","O2K1H5Korea_01117","","","O78H4Australia_01049","O78H4Korea_01073","","","","","","","",""
"hcpA_1","","Major exported protein","7","7","1","52","2280","1","6665","","491","491","491","","","","","O1H7Pakistan_01176","O1K1H7Korea_01138","O25H4Denmark_00608","O2K1H5China_01041","O2K1H5Korea_01134","","","O78H4Australia_01034","O78H4Korea_01090","","","","","","","",""
"group_6679","","hypothetical protein","7","7","1","52","2285","1","6660","","1538","1538","1538","","","","","O1H7Pakistan_01180","O1K1H7Korea_01142","O25H4Denmark_00604","O2K1H5China_01037","O2K1H5Korea_01138","","","O78H4Australia_01030","O78H4Korea_01094","","","","","","","",""
"group_6680","","hypothetical protein","7","7","1","52","2286","1","6659","","500","500","500","","","","","O1H7Pakistan_01181","O1K1H7Korea_01143","O25H4Denmark_00603","O2K1H5China_01036","O2K1H5Korea_01139","","","O78H4Australia_01029","O78H4Korea_01095","","","","","","","",""
"modE_1","","ModE-MoO42- DNA-binding transcriptional dual regulator","7","7","1","52","2362","407","1","","428","428","428","","","","","O1H7Pakistan_01267","O1K1H7Korea_01229","O25H4Denmark_00514","O2K1H5China_00951","O2K1H5Korea_01225","","","O78H4Australia_00934","O78H4Korea_01189","","","","","","","",""
"group_6699","rodZ","transmembrane component of cytoskeleton","7","7","1","52","4066","420","1","","1007","1007","1007","","","","","O1H7Pakistan_01460","O1K1H7Korea_01463","O25H4Denmark_00072","O2K1H5China_00687","O2K1H5Korea_01482","","","O78H4Australia_00744","O78H4Korea_01379","","","","","","","",""
"group_6715","elaA","putative acyltransferase with acyl-CoA N-acyltransferase domain protein","7","7","1","52","3741","397","1","","461","461","461","","","","","O1H7Pakistan_01691","O1K1H7Korea_01796","O25H4Denmark_00299","O2K1H5China_00395","O2K1H5Korea_01817","","","O78H4Australia_00520","O78H4Korea_01601","","","","","","","",""
"group_6796","narV","nitrate reductase Z, gamma subunit","7","7","1","52","10689","410","1","","680","680","680","","","","","O1H7Pakistan_02564","O1K1H7Korea_02643","O25H4Denmark_04549","O2K1H5China_04718","O2K1H5Korea_02776","","","O78H4Australia_04863","O78H4Korea_02554","","","","","","","",""
"emrK_2","","EmrKY-TolC multidrug efflux transport system - membrane fusion protein","7","7","1","52","9969","369","3","","1028","1028","1028","","","","","O1H7Pakistan_02638","O1K1H7Korea_02715","O25H4Denmark_04838","O2K1H5China_04789","O2K1H5Korea_02852","","","O78H4Australia_04703","O78H4Korea_02705","","","","","","","",""
