"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","O78H9_China","O78H9_HPVN24_VN","O78H9_IMT2125_UK","O78_US"
"ftnA","","ferritin iron storage protein","4","4","1","1","3083","","","","497","497","497","O78H9China_00082","O78H9HPVN24_01979","O78H9IMT2125UK_02017","O78US_02784"
"dapB","","dihydrodipicolinate reductase","4","4","1","1","4278","","","","821","821","821","O78H9China_01380","O78H9HPVN24_00069","O78H9IMT2125UK_00036","O78US_00759"
"paaE","","ring 1,2-phenylacetyl-CoA epoxidase, reductase subunit","4","4","1","1","3260","","","","1070","1070","1070","O78H9China_02034","O78H9HPVN24_01463","O78H9IMT2125UK_01487","O78US_02242"
"yhhQ","","hypothetical protein; gene is a predicted member of the purine regulon","4","4","1","1","1719","","","","665","665","665","O78H9China_02510","O78H9HPVN24_03701","O78H9IMT2125UK_03776","O78US_04437"
"cytR_2","","CytR-cytidine","4","4","1","1","32","","","","1025","1025","1025","O78H9China_04081","O78H9HPVN24_04198","O78H9IMT2125UK_04289","O78US_00092"
"pgk","","phosphoglycerate kinase","4","4","1","1","2290","","","","1163","1163","1163","O78H9China_03361","O78H9HPVN24_03105","O78H9IMT2125UK_03197","O78US_03858"
"yfgO","","putative inner membrane protein","4","4","1","1","2615","","","","1061","1061","1061","O78H9China_02280","O78H9HPVN24_02667","O78H9IMT2125UK_02640","O78US_03398"
"sapA","","peptide ABC transporter SapABCDF - periplasmic binding protein","4","4","1","1","3188","","","","533","1643","1365","O78H9China_02106","O78H9HPVN24_01390","O78H9IMT2125UK_01411","O78US_02170"
"rcsA","","positive DNA-binding transcriptional regulator of capsular polysaccharide synthesis, activates its own expression","4","4","1","1","3125","","","","623","623","623","O78H9China_00127","O78H9HPVN24_02023","O78H9IMT2125UK_02062","O78US_02829"
"rpsE","","30S ribosomal subunit protein S5","4","4","1","1","1888","","","","503","503","503","O78H9China_04733","O78H9HPVN24_03533","O78H9IMT2125UK_03606","O78US_04269"
"zntR","","ZntR transcriptional activator","4","4","1","1","1899","","","","425","425","425","O78H9China_04745","O78H9HPVN24_03521","O78H9IMT2125UK_03594","O78US_04257"
"lptB","","LptABCFG ABC transporter","4","4","1","1","1976","","","","725","725","725","O78H9China_02989","O78H9HPVN24_03443","O78H9IMT2125UK_03514","O78US_04171"
"sfsA","","putative DNA-binding transcriptional regulator of maltose metabolism","4","4","1","1","4047","","","","704","704","704","O78H9China_01257","O78H9HPVN24_00191","O78H9IMT2125UK_00160","O78US_00881"
"rfaH","","RfaH transcriptional antiterminator","4","4","1","1","5120","","","","488","488","488","O78H9China_03998","O78H9HPVN24_04093","O78H9IMT2125UK_04170","O78US_04840"
"group_3646","","hypothetical protein","4","4","1","1","4768","","","","740","740","740","O78H9China_03589","O78H9HPVN24_00272","O78H9IMT2125UK_00242","O78US_00969"
"yjbF","","putative lipoprotein","4","4","1","1","4160","","","","638","638","638","O78H9China_01168","O78H9HPVN24_04307","O78H9IMT2125UK_04401","O78US_00214"
"group_3648","","hypothetical protein","4","4","1","1","1629","","","","212","212","212","O78H9China_03952","O78H9HPVN24_03796","O78H9IMT2125UK_03872","O78US_04539"
"group_3649","","hypothetical protein","4","4","1","1","1993","","","","965","965","965","O78H9China_03006","O78H9HPVN24_03426","O78H9IMT2125UK_03497","O78US_04154"
"tonB","","TonB energy transducing system - TonB subunit","4","4","1","1","747","","","","719","734","730","O78H9China_02152","O78H9HPVN24_01344","O78H9IMT2125UK_01364","O78US_02124"
"ybjM","","putative inner membrane protein","4","4","1","1","1131","","","","377","377","377","O78H9China_00513","O78H9HPVN24_00945","O78H9IMT2125UK_00917","O78US_01683"
"wcaC","","putative colanic acid biosynthesis glycosyl transferase","4","4","1","1","3505","","","","1217","1217","1217","O78H9China_00283","O78H9HPVN24_02167","O78H9IMT2125UK_02174","O78US_02940"
"astD","","aldehyde dehydrogenase","4","4","1","1","2932","","","","1478","1478","1478","O78H9China_01556","O78H9HPVN24_01824","O78H9IMT2125UK_01858","O78US_02629"
"ygeX","","2,3-diaminopropionate ammonia-lyase","4","4","1","1","2344","","","","1196","1196","1196","O78H9China_03303","O78H9HPVN24_03047","O78H9IMT2125UK_03139","O78US_03800"
"mug","","stationary phase mismatch/uracil DNA glycosylase","4","4","1","1","2113","","","","506","506","506","O78H9China_03238","O78H9HPVN24_03300","O78H9IMT2125UK_03365","O78US_04027"
"dctA","","C4 dicarboxylate / orotate:H+ symporter","4","4","1","1","1663","","","","1286","1286","1286","O78H9China_03910","O78H9HPVN24_03760","O78H9IMT2125UK_03835","O78US_04497"
"fruB_2","","fructose PTS permease - FruB subunit","4","4","1","1","286","","","","257","257","257","O78H9China_02357","O78H9HPVN24_02590","O78H9IMT2125UK_02563","O78US_03320"
"ygjR","","putative NAD(P)-binding dehydrogenase","4","4","1","1","2096","","","","986","986","986","O78H9China_03257","O78H9HPVN24_03319","O78H9IMT2125UK_03385","O78US_04046"
"rpmB","","50S ribosomal subunit protein L28","4","4","1","1","1547","","","","236","236","236","O78H9China_02690","O78H9HPVN24_03879","O78H9IMT2125UK_03957","O78US_04623"
"tdcG","","L-serine deaminase III","4","4","1","1","2064","","","","1364","1364","1364","O78H9China_03085","O78H9HPVN24_03346","O78H9IMT2125UK_03416","O78US_04076"
"group_366","","hypothetical protein","4","4","1","1","757","","","","161","296","228","O78H9China_02162","O78H9HPVN24_01334","O78H9IMT2125UK_01354","O78US_02114"
"amiA","","N-acetylmuramoyl-L-alanine amidase 1","4","4","1","1","267","","","","869","869","869","O78H9China_02338","O78H9HPVN24_02609","O78H9IMT2125UK_02582","O78US_03339"
"ybgF","","putative periplasmic protein","4","4","1","1","614","","","","791","791","791","O78H9China_04365","O78H9HPVN24_00777","O78H9IMT2125UK_00753","O78US_01514"
"yceJ","","putative cytochrome b561","4","4","1","1","925","","","","566","566","566","O78H9China_00729","O78H9HPVN24_01161","O78H9IMT2125UK_01176","O78US_01940"
"csdE","","CSD sulfur transfer protein","4","4","1","1","2426","","","","443","443","443","O78H9China_03741","O78H9HPVN24_02966","O78H9IMT2125UK_03051","O78US_03713"
"yahJ","","putative deaminase with metallo-dependent hydrolase domain protein","4","4","1","1","4823","","","","1382","1382","1382","O78H9China_03647","O78H9HPVN24_00377","O78H9IMT2125UK_00346","O78US_01086"
"ydcO","","putative benzoate transporter","4","4","1","1","3295","","","","1175","1175","1175","O78H9China_01998","O78H9HPVN24_01498","O78H9IMT2125UK_01523","O78US_02279"
"eutS","","putative structural protein, ethanolamine utilization microcompartment","4","4","1","1","247","","","","335","335","335","O78H9China_02319","O78H9HPVN24_02628","O78H9IMT2125UK_02601","O78US_03359"
"yaaX","","putative protein","4","4","1","1","4307","","","","296","296","296","O78H9China_01409","O78H9HPVN24_00041","O78H9IMT2125UK_00005","O78US_00730"
"cmoA","","putative methyltransferase","4","4","1","1","3051","","","","743","743","743","O78H9China_00048","O78H9HPVN24_01945","O78H9IMT2125UK_01983","O78US_02750"
"adiA","","Adi","4","4","1","1","1505","","","","2270","2270","2270","O78H9China_01006","O78H9HPVN24_04448","O78H9IMT2125UK_04504","O78US_00333"
"adhE","","pyruvate formate-lyase deactivase [multifunctional]","4","4","1","1","760","","","","1709","2675","2433","O78H9China_02165","O78H9HPVN24_01331","O78H9IMT2125UK_01351","O78US_02111"
"lpxB","","lipid A disaccharide synthase","4","4","1","1","4012","","","","1148","1148","1148","O78H9China_01219","O78H9HPVN24_00229","O78H9IMT2125UK_00198","O78US_00919"
"yojO","","hypothetical protein","4","4","1","1","2851","","","","164","164","164","O78H9China_01952","O78H9HPVN24_02349","O78H9IMT2125UK_02355","O78US_03120"
"ydeE","","putative transport protein YdeE","4","4","1","1","3782","","","","1187","1187","1187","O78H9China_04573","O78H9HPVN24_01610","O78H9IMT2125UK_01644","O78US_02397"
"dnaN","","DNA polymerase III, holoenzyme","4","4","1","1","5250","","","","1100","1100","1100","O78H9China_02618","O78H9HPVN24_03952","O78H9IMT2125UK_04028","O78US_04694"
"tabA","","toxin-antitoxin biofilm protein","4","4","1","1","4349","","","","452","452","452","O78H9China_00860","O78H9HPVN24_04592","O78H9IMT2125UK_04655","O78US_00480"
"frlD","","fructoselysine 6-kinase","4","4","1","1","1816","","","","785","785","785","O78H9China_02413","O78H9HPVN24_03604","O78H9IMT2125UK_03678","O78US_04340"
"dapD","","tetrahydrodipicolinate succinylase subunit","4","4","1","1","4029","","","","824","824","824","O78H9China_01238","O78H9HPVN24_00210","O78H9IMT2125UK_00179","O78US_00900"
"yidL","","putative ARAC-type regulatory protein","4","4","1","1","5297","","","","893","893","893","O78H9China_02639","O78H9HPVN24_03930","O78H9IMT2125UK_04007","O78US_04673"
"glpC","","glycerol-3-phosphate dehydrogenase (anaerobic), small subunit","4","4","1","1","460","","","","1190","1190","1190","O78H9China_01910","O78H9HPVN24_02391","O78H9IMT2125UK_02398","O78US_03161"
"plsX","","fatty acid/phospholipid synthesis protein","4","4","1","1","893","","","","1040","1040","1040","O78H9China_00764","O78H9HPVN24_01195","O78H9IMT2125UK_01211","O78US_01975"
"galU","","UTP--glucose-1-phosphate uridylyltransferase","4","4","1","1","762","","","","908","980","926","O78H9China_02168","O78H9HPVN24_01329","O78H9IMT2125UK_01348","O78US_02108"
"clpX","","ClpAXP","4","4","1","1","4932","","","","1274","1274","1274","O78H9China_02801","O78H9HPVN24_00485","O78H9IMT2125UK_00455","O78US_01194"
"rplF","","50S ribosomal subunit protein L6","4","4","1","1","1886","","","","533","533","533","O78H9China_04731","O78H9HPVN24_03535","O78H9IMT2125UK_03608","O78US_04271"
"fdnI","","formate dehydrogenase N, gamma subunit","4","4","1","1","3354","","","","653","653","653","O78H9China_04637","O78H9HPVN24_01543","O78H9IMT2125UK_01573","O78US_02326"
"kbaZ","","tagatose-1,6-bisphosphate aldolase 1","4","4","1","1","2047","","","","1280","1280","1280","O78H9China_03066","O78H9HPVN24_03365","O78H9IMT2125UK_03436","O78US_04094"
"sdhD","","succinate dehydrogenase membrane protein","4","4","1","1","372","","","","347","347","347","O78H9China_04386","O78H9HPVN24_00756","O78H9IMT2125UK_00731","O78US_01493"
"dnaB","","primosome","4","4","1","1","4199","","","","1415","1415","1415","O78H9China_01079","O78H9HPVN24_04375","O78H9IMT2125UK_04430","O78US_00260"
"yidA","","sugar phosphatase","4","4","1","1","5254","","","","812","812","812","O78H9China_02622","O78H9HPVN24_03948","O78H9IMT2125UK_04024","O78US_04690"
"group_3687","","hypothetical protein","4","4","1","1","2288","","","","431","431","431","O78H9China_03363","O78H9HPVN24_03107","O78H9IMT2125UK_03199","O78US_03860"
"yjiJ","","putative transport protein","4","4","1","1","4459","","","","1178","1178","1178","O78H9China_04317","O78H9HPVN24_04699","O78H9IMT2125UK_04763","O78US_00588"
"allC","","allantoate amidohydrolase monomer","4","4","1","1","5006","","","","1235","1235","1235","O78H9China_02880","O78H9HPVN24_00564","O78H9IMT2125UK_00535","O78US_01272"
"purL","","phosphoribosylformylglycinamide synthetase","4","4","1","1","2680","","","","470","3887","3032","O78H9China_02211","O78H9HPVN24_02736","O78H9IMT2125UK_02709","O78US_03467"
"ispA","","geranyl diphosphate synthase / farnesyl diphosphate synthase","4","4","1","1","4914","","","","899","899","899","O78H9China_02784","O78H9HPVN24_00467","O78H9IMT2125UK_00438","O78US_01177"
"gltL","","glutamate / aspartate ABC transporter - ATP binding subunit","4","4","1","1","316","","","","725","725","725","O78H9China_03469","O78H9HPVN24_00694","O78H9IMT2125UK_00667","O78US_01429"
"sohB","","putative inner membrane peptidase","4","4","1","1","3162","","","","1049","1049","1049","O78H9China_02133","O78H9HPVN24_01363","O78H9IMT2125UK_01384","O78US_02143"
"yedY","","reductase","4","4","1","1","3142","","","","1004","1004","1004","O78H9China_00146","O78H9HPVN24_02043","O78H9IMT2125UK_02081","O78US_02848"
"bssS","","regulator of biofilm formation","4","4","1","1","922","","","","254","254","254","O78H9China_00732","O78H9HPVN24_01164","O78H9IMT2125UK_01179","O78US_01943"
"yciG","","putative protein","4","4","1","1","740","","","","179","179","179","O78H9China_02145","O78H9HPVN24_01351","O78H9IMT2125UK_01371","O78US_02131"
"potB","","putrescine / spermidine ABC transporter - membrane subunit","4","4","1","1","858","","","","857","857","857","O78H9China_00800","O78H9HPVN24_01231","O78H9IMT2125UK_01247","O78US_02011"
"ybbO","","putative oxidoreductase with NAD(P)-binding Rossmann-fold domain protein","4","4","1","1","4989","","","","770","770","770","O78H9China_02861","O78H9HPVN24_00545","O78H9IMT2125UK_00516","O78US_01253"
"yaaU","","YaaU","4","4","1","1","4263","","","","1331","1331","1331","O78H9China_01363","O78H9HPVN24_00086","O78H9IMT2125UK_00052","O78US_00775"
"tdcA","","TdcA DNA-binding transcriptional activator","4","4","1","1","2058","","","","938","938","938","O78H9China_03079","O78H9HPVN24_03352","O78H9IMT2125UK_03423","O78US_04082"
"yfgF","","cyclic di-GMP phosphodiesterase","4","4","1","1","2625","","","","1769","2243","2124","O78H9China_02270","O78H9HPVN24_02677","O78H9IMT2125UK_02650","O78US_03408"
"slt","","soluble lytic murein transglycosylase","4","4","1","1","4321","","","","1937","1937","1937","O78H9China_01424","O78H9HPVN24_00026","O78H9IMT2125UK_04830","O78US_00715"
"djlB","","putative chaperone","4","4","1","1","308","","","","1427","1427","1427","O78H9China_03476","O78H9HPVN24_00687","O78H9IMT2125UK_00660","O78US_01421"
"gntP","","gluconate / fructuronate transporter GntP","4","4","1","1","4445","","","","1343","1343","1343","O78H9China_04305","O78H9HPVN24_04686","O78H9IMT2125UK_04749","O78US_00576"
"xseA","","exonuclease VII, large subunit","4","4","1","1","2632","","","","1370","1370","1370","O78H9China_02263","O78H9HPVN24_02684","O78H9IMT2125UK_02657","O78US_03415"
"yniC","","2-deoxyglucose-6-phosphatase","4","4","1","1","2913","","","","668","668","668","O78H9China_01575","O78H9HPVN24_01805","O78H9IMT2125UK_01839","O78US_02610"
"puuC_1","","gamma-glutamyl-gamma-aminobutyraldehyde dehydrogenase","4","4","1","1","4481","","","","1466","1466","1466","O78H9China_01469","O78H9HPVN24_04720","O78H9IMT2125UK_04785","O78US_00610"
"phoH","","ATP-binding protein","4","4","1","1","959","","","","788","788","788","O78H9China_00691","O78H9HPVN24_01126","O78H9IMT2125UK_01136","O78US_01902"
"ymfA","","putative inner membrane protein","4","4","1","1","861","","","","461","461","461","O78H9China_00797","O78H9HPVN24_01228","O78H9IMT2125UK_01244","O78US_02008"
"ydeM_1","","putative anaerobic sulfatase maturation enzyme; predicted DNA-binding transcriptional regulator","4","4","1","1","3332","","","","1037","1037","1037","O78H9China_04658","O78H9HPVN24_01563","O78H9IMT2125UK_01596","O78US_02347"
"lon","","DNA-binding, ATP-dependent protease La","4","4","1","1","4933","","","","2354","2354","2354","O78H9China_02803","O78H9HPVN24_00487","O78H9IMT2125UK_00457","O78US_01196"
"talA","","transaldolase A","4","4","1","1","245","","","","746","950","899","O78H9China_02317","O78H9HPVN24_02630","O78H9IMT2125UK_02603","O78US_03361"
"zapD","","cell division factor ZapD","4","4","1","1","3963","","","","743","743","743","O78H9China_01301","O78H9HPVN24_00147","O78H9IMT2125UK_00114","O78US_00837"
"frlB","","fructoselysine 6-phosphate deglycase monomer","4","4","1","1","1818","","","","1022","1022","1022","O78H9China_02411","O78H9HPVN24_03602","O78H9IMT2125UK_03676","O78US_04338"
"hycF","","formate hydrogenlyase complex iron-sulfur protein","4","4","1","1","2522","","","","542","542","542","O78H9China_03857","O78H9HPVN24_02870","O78H9IMT2125UK_02954","O78US_03616"
"group_3713","","hypothetical protein","4","4","1","1","4801","","","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","158","158","158","O78H9China_03626","O78H9HPVN24_00356","O78H9IMT2125UK_00325","O78US_01064"
"abgA","","p-aminobenzoyl-glutamate hydrolase subunit A","4","4","1","1","3235","","","","1310","1310","1310","O78H9China_02062","O78H9HPVN24_01435","O78H9IMT2125UK_01458","O78US_02214"
"ulaE","","L-xylulose 5-phosphate 3-epimerase","4","4","1","1","1376","","","","854","854","854","O78H9China_00924","O78H9HPVN24_04528","O78H9IMT2125UK_04591","O78US_00416"
"rlmM","","23S rRNA 2'-O-ribose methyltransferase","4","4","1","1","2431","","","","1100","1100","1100","O78H9China_03735","O78H9HPVN24_02960","O78H9IMT2125UK_03045","O78US_03707"
"focA","","formate channel FocA","4","4","1","1","1075","","","","857","857","857","O78H9China_00572","O78H9HPVN24_01006","O78H9IMT2125UK_01014","O78US_01783"
"mshA","","D-inositol-3-phosphate glycosyltransferase","4","4","1","1","3488","","","","1109","1109","1109","O78H9China_00260","O78H9HPVN24_02144","O78H9IMT2125UK_02154","O78US_02917"
"era","","GTP-binding protein","4","4","1","1","2689","","","","905","905","905","O78H9China_02201","O78H9HPVN24_02747","O78H9IMT2125UK_02719","O78US_03477"
"eutM","","putative structural protein, ethanolamine utilization microcompartment","4","4","1","1","253","","","","293","335","314","O78H9China_02325","O78H9HPVN24_02622","O78H9IMT2125UK_02595","O78US_03353"
"tatC","","TatABCE protein export complex","4","4","1","1","5122","","","","776","776","776","O78H9China_04000","O78H9HPVN24_04092","O78H9IMT2125UK_04168","O78US_04838"
"ampC","","beta-lactamase; penicillin resistance","4","4","1","1","1419","","","","1133","1133","1133","O78H9China_00969","O78H9HPVN24_04484","O78H9IMT2125UK_04545","O78US_00371"
"gstA","","Gst","4","4","1","1","4655","","","","605","605","605","O78H9China_01674","O78H9HPVN24_01704","O78H9IMT2125UK_01737","O78US_02511"
"truA","","tRNA pseudouridine synthase I","4","4","1","1","533","","","","812","812","812","O78H9China_01838","O78H9HPVN24_02464","O78H9IMT2125UK_02472","O78US_03233"
"yfcD","","putative Nudix hydrolase","4","4","1","1","514","","","","542","542","542","O78H9China_01857","O78H9HPVN24_02445","O78H9IMT2125UK_02453","O78US_03214"
"ygeV","","putative transcriptional regulator","4","4","1","1","2346","","","","1778","1778","1778","O78H9China_03301","O78H9HPVN24_03045","O78H9IMT2125UK_03137","O78US_03798"
"wcaE","","putative colanic acid biosynthesis glycosyl transferase","4","4","1","1","3503","","","","746","746","746","O78H9China_00281","O78H9HPVN24_02165","O78H9IMT2125UK_02172","O78US_02938"
"epmB","","lysine 2,3-aminomutase","4","4","1","1","1425","","","","1028","1028","1028","O78H9China_00976","O78H9HPVN24_04477","O78H9IMT2125UK_04538","O78US_00364"
"prfA","","peptide chain release factor RF1","4","4","1","1","786","","","","1082","1082","1082","O78H9China_04512","O78H9HPVN24_01299","O78H9IMT2125UK_01318","O78US_02079"
"sgcC","","PTS permease - unknown specificity","4","4","1","1","4420","","","","1313","1313","1313","O78H9China_04282","O78H9HPVN24_04663","O78H9IMT2125UK_04726","O78US_00554"
"aroK","","shikimate kinase I","4","4","1","1","1800","","","","521","677","560","O78H9China_02429","O78H9HPVN24_03620","O78H9IMT2125UK_03694","O78US_04356"
"luxS","","S-ribosylhomocysteine lyase","4","4","1","1","2553","","","","515","515","515","O78H9China_03819","O78H9HPVN24_02836","O78H9IMT2125UK_02916","O78US_03578"
"mhpE","","4-hydroxy-2-ketovalerate aldolase","4","4","1","1","4850","","","","1013","1013","1013","O78H9China_03674","O78H9HPVN24_00404","O78H9IMT2125UK_00374","O78US_01113"
"glgX","","glycogen phosphorylase-limit dextrin alpha-1,6-glucohydrolase","4","4","1","1","1756","","","","1973","1973","1973","O78H9China_02472","O78H9HPVN24_03663","O78H9IMT2125UK_03738","O78US_04399"
"ycgJ","","putative protein","4","4","1","1","827","","","","368","368","368","O78H9China_04550","O78H9HPVN24_01260","O78H9IMT2125UK_01279","O78US_02041"
"srlB","","glucitol/sorbitol PTS permease - SrlB subunit","4","4","1","1","2541","","","","371","371","371","O78H9China_03838","O78H9HPVN24_02851","O78H9IMT2125UK_02935","O78US_03597"
"adrA","","putative diguanylate cyclase","4","4","1","1","4880","","","","1115","1115","1115","O78H9China_02750","O78H9HPVN24_00433","O78H9IMT2125UK_00404","O78US_01143"
"fliI_3","","flagellum-specific ATP synthase FliI","4","4","1","1","2355","","","","770","770","770","O78H9China_03291","O78H9HPVN24_03035","O78H9IMT2125UK_03126","O78US_03788"
"fliE","","flagellar basal-body protein FliE","4","4","1","1","3111","","","","314","314","314","O78H9China_00113","O78H9HPVN24_02009","O78H9IMT2125UK_02048","O78US_02815"
"rffT","","4-acetamido-4,6-dideoxy-D-galactose transferase","4","4","1","1","5163","","","","1079","1079","1079","O78H9China_04047","O78H9HPVN24_04045","O78H9IMT2125UK_04122","O78US_04791"
"envC","","EnvC murein hydrolase","4","4","1","1","1568","","","","1259","1259","1259","O78H9China_02712","O78H9HPVN24_03857","O78H9IMT2125UK_03935","O78US_04601"
"hofM","","protein involved in utilization of DNA as a carbon source","4","4","1","1","1795","","","","734","779","767","O78H9China_02434","O78H9HPVN24_03625","O78H9IMT2125UK_03699","O78US_04361"
"phnC","","phosphonate ABC transporter - ATP binding subunit","4","4","1","1","1493","","","","788","788","788","O78H9China_01020","O78H9HPVN24_04435","O78H9IMT2125UK_04490","O78US_00319"
"ybaT","","YbaT APC transporter","4","4","1","1","4982","","","","1292","1292","1292","O78H9China_02854","O78H9HPVN24_00538","O78H9IMT2125UK_00509","O78US_01246"
"chbF","","monoacetylchitobiose-6-phosphate hydrolase","4","4","1","1","2920","","","","1352","1352","1352","O78H9China_01568","O78H9HPVN24_01812","O78H9IMT2125UK_01846","O78US_02617"
"yagG","","YagG GPH Transporter","4","4","1","1","2157","","","","680","680","680","O78H9China_03189","O78H9HPVN24_03252","O78H9IMT2125UK_03317","O78US_03979"
"dppF","","dipeptide ABC transporter - putative ABC binding subunit","4","4","1","1","1646","","","","1004","1004","1004","O78H9China_03931","O78H9HPVN24_03775","O78H9IMT2125UK_03850","O78US_04518"
"pdhR","","PdhR DNA-binding transcriptional dual regulator","4","4","1","1","3973","","","","764","764","764","O78H9China_01291","O78H9HPVN24_00157","O78H9IMT2125UK_00124","O78US_00847"
"hybB","","putative hydrogenase 2 cytochrome b type component","4","4","1","1","2188","","","","1178","1178","1178","O78H9China_03156","O78H9HPVN24_03219","O78H9IMT2125UK_03284","O78US_03946"
"iclR","","IclR transcriptional repressor","4","4","1","1","4139","","","","824","824","824","O78H9China_01189","O78H9HPVN24_04285","O78H9IMT2125UK_04380","O78US_00193"
"group_3748","","hypothetical protein","4","4","1","1","4749","","","","779","779","779","O78H9China_03568","O78H9HPVN24_00252","O78H9IMT2125UK_00222","O78US_00948"
"ligB_2","","DNA ligase","4","4","1","1","1535","","","","188","188","188","O78H9China_02677","O78H9HPVN24_03892","O78H9IMT2125UK_03970","O78US_04636"
"pck","","phosphoenolpyruvate carboxykinase (ATP)","4","4","1","1","1787","","","","1565","1622","1607","O78H9China_02442","O78H9HPVN24_03633","O78H9IMT2125UK_03707","O78US_04369"
"secD","","Sec Translocation Complex","4","4","1","1","4901","","","","1814","1814","1814","O78H9China_02771","O78H9HPVN24_00454","O78H9IMT2125UK_00425","O78US_01164"
"group_3751","","hypothetical protein","4","4","1","1","3750","","","","92","92","92","O78H9China_04606","O78H9HPVN24_01577","O78H9IMT2125UK_01612","O78US_02364"
"atoE","","putative short chain fatty acid transporter","4","4","1","1","440","","","","1322","1322","1322","O78H9China_01931","O78H9HPVN24_02370","O78H9IMT2125UK_02376","O78US_03140"
"kefG","","protein required for KefB activity","4","4","1","1","1838","","","","551","551","551","O78H9China_02391","O78H9HPVN24_03582","O78H9IMT2125UK_03655","O78US_04318"
"menB","","1,4-dihydroxy-2-naphthoyl-CoA synthase","4","4","1","1","477","","","","857","857","857","O78H9China_01893","O78H9HPVN24_02408","O78H9IMT2125UK_02416","O78US_03178"
"dcuD","","YhcL DcuC transporter","4","4","1","1","1956","","","","1367","1367","1367","O78H9China_02968","O78H9HPVN24_03464","O78H9IMT2125UK_03535","O78US_04192"
"damX","","cell division protein DamX","4","4","1","1","1802","","","","1286","1286","1286","O78H9China_02427","O78H9HPVN24_03618","O78H9IMT2125UK_03692","O78US_04354"
"dsbC","","Thiol:disulfide interchange protein DsbC","4","4","1","1","2322","","","","710","710","710","O78H9China_03325","O78H9HPVN24_03069","O78H9IMT2125UK_03161","O78US_03822"
"rsuA","","16S rRNA pseudouridine 516 synthase","4","4","1","1","3633","","","","695","695","695","O78H9China_05068","O78H9HPVN24_02302","O78H9IMT2125UK_02309","O78US_03073"
"nemR","","NemR DNA-binding transcriptional repressor","4","4","1","1","4641","","","","599","599","599","O78H9China_01660","O78H9HPVN24_01718","O78H9IMT2125UK_01751","O78US_02525"
"glgB","","1,4-alpha-glucan branching enzyme","4","4","1","1","1755","","","","731","2186","1822","O78H9China_02473","O78H9HPVN24_03664","O78H9IMT2125UK_03739","O78US_04400"
"ygeG","","putative chaperone","4","4","1","1","2386","","","","491","491","491","O78H9China_03787","O78H9HPVN24_03009","O78H9IMT2125UK_03098","O78US_03759"
"yaiP","","putative glucosyltransferase","4","4","1","1","4857","","","","1196","1196","1196","O78H9China_03681","O78H9HPVN24_00412","O78H9IMT2125UK_00381","O78US_01120"
"ybhO","","cardiolipin synthase 2","4","4","1","1","1213","","","","1241","1241","1241","O78H9China_00431","O78H9HPVN24_00863","O78H9IMT2125UK_00833","O78US_01601"
"coaA","","pantothenate kinase monomer","4","4","1","1","4100","","","","926","926","926","O78H9China_05185","O78H9HPVN24_04239","O78H9IMT2125UK_04333","O78US_00141"
"group_3764","","hypothetical protein","4","4","1","1","3943","","","","458","458","458","O78H9China_01325","O78H9HPVN24_00123","O78H9IMT2125UK_00090","O78US_00813"
"flgI","","flagellar P-ring protein FlgI","4","4","1","1","902","","","","1097","1097","1097","O78H9China_00753","O78H9HPVN24_01185","O78H9IMT2125UK_01200","O78US_01964"
"marC","","putative transporter","4","4","1","1","3771","","","","665","665","665","O78H9China_04584","O78H9HPVN24_01599","O78H9IMT2125UK_01633","O78US_02386"
"ynfL","","putative DNA-binding transcriptional regulator","4","4","1","1","4685","","","","893","893","893","O78H9China_01716","O78H9HPVN24_01660","O78H9IMT2125UK_01671","O78US_02469"
"artM","","arginine ABC transporter - membrane subunit","4","4","1","1","1118","","","","668","668","668","O78H9China_00527","O78H9HPVN24_00959","O78H9IMT2125UK_00931","O78US_01697"
"cynR","","CynR DNA-binding transcriptional repressor","4","4","1","1","4836","","","","899","899","899","O78H9China_03660","O78H9HPVN24_00390","O78H9IMT2125UK_00360","O78US_01099"
"gntR","","GntR DNA-binding transcriptional repressor","4","4","1","1","1750","","","","485","995","867","O78H9China_02478","O78H9HPVN24_03669","O78H9IMT2125UK_03744","O78US_04405"
"narX","","Nitrate/nitrite sensor protein NarX","4","4","1","1","773","","","","1796","1796","1796","O78H9China_04497","O78H9HPVN24_01314","O78H9IMT2125UK_01333","O78US_02094"
"sapF","","peptide ABC transporter SapABCDF - ATP binding subunit","4","4","1","1","3184","","","","806","806","806","O78H9China_02110","O78H9HPVN24_01386","O78H9IMT2125UK_01407","O78US_02166"
"ypdB_2","","putative response regulator in two-component system with YpdA","4","4","1","1","609","","","","734","734","734","O78H9China_01787","O78H9HPVN24_02574","O78H9IMT2125UK_02528","O78US_03284"
"lptG_2","","LptABCFG ABC transporter","4","4","1","1","4360","","","","1082","1082","1082","O78H9China_00847","O78H9HPVN24_04605","O78H9IMT2125UK_04668","O78US_00493"
"uspA","","universal stress global stress response regulator","4","4","1","1","1698","","","","434","434","434","O78H9China_02531","O78H9HPVN24_03722","O78H9IMT2125UK_03797","O78US_04458"
"ybfQ","","putative transposase","4","4","1","1","354","","","","254","254","254","O78H9China_04404","O78H9HPVN24_00738","O78H9IMT2125UK_00712","O78US_01475"
